"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0039155",730.567672556595,-4.6187421498357,0.169123973164068,-27.309801581796,3.24446568301773e-164,2.71918668893716e-160
"FBgn0025111",1501.4479295742,2.89994582801925,0.127357563421113,22.77011078196,9.07164464114092e-115,3.8014726868701e-111
"FBgn0029167",3706.02400785474,-2.19691191011061,0.0979153734220576,-22.4368435040427,1.72030168751674e-111,4.80594948102594e-108
"FBgn0003360",4342.8320615483,-3.1795412114621,0.143567713882228,-22.1466311992009,1.12417339045293e-108,2.3554242963465e-105
"FBgn0035085",638.219335651327,-2.56024231871869,0.137812592379191,-18.5777095874824,4.86844625820929e-77,8.1604896180104e-74
"FBgn0039827",261.911169759448,-4.1624252814943,0.232594159005007,-17.8956569644756,1.27484498496853e-71,1.78074596983687e-68
"FBgn0034736",225.870671605661,-3.51131887563853,0.214762789288184,-16.3497544769117,4.36736155495225e-60,5.22897959886497e-57
"FBgn0029896",489.877246619059,-2.44494493880418,0.152214942417405,-16.0624502428916,4.67704638945948e-58,4.89979072375749e-55
"FBgn0000071",342.246487725455,2.6797251699955,0.18241747212597,14.6900685486147,7.46382562401488e-49,6.9504802838743e-46
"FBgn0051092",153.068561614784,2.32790732819797,0.177225461762366,13.1352871367849,2.06705870768768e-39,1.73240190291305e-36
"FBgn0034434",114.623344446462,-3.64247923614875,0.278345860388399,-13.0861627726962,3.95067802922107e-39,3.01005750571835e-36
"FBgn0040091",1106.50895128494,-1.57529155384265,0.121495837783186,-12.9658067517821,1.91208015169224e-38,1.33542864594439e-35
"FBgn0027279",2954.90726348927,-1.19202209332488,0.0945355857821061,-12.6092421542968,1.87790062962589e-36,1.21066809053035e-33
"FBgn0038832",301.911362068779,-2.54101053978943,0.202203747942112,-12.5665847722906,3.22350468063795e-36,1.92972805203048e-33
"FBgn0034897",892.485155473449,-1.92139473718812,0.158870159909732,-12.0941197407986,1.13451757585103e-33,6.33892786880497e-31
"FBgn0003501",277.460809952997,2.15369363558489,0.180459741539108,11.9344825456162,7.82439379326481e-33,4.09851527383452e-30
"FBgn0039419",1564.28099570834,-1.16037893065674,0.0973742523687445,-11.9166915527374,9.68797914354589e-33,4.77617371776812e-30
"FBgn0035189",215.654948171641,2.97510896989963,0.25232796513229,11.7906430559128,4.36197646469094e-32,2.03098470836527e-29
"FBgn0033764",65.2059280189589,3.41163844727714,0.294546023948421,11.5827007322787,5.04317546871439e-31,2.2245712422787e-28
"FBgn0040827",215.979868086714,-1.98984600919327,0.176691026808147,-11.2617264449647,2.02747272776733e-29,8.49612446570898e-27
"FBgn0032405",79.6159906120173,2.67273865834326,0.239994097069052,11.1366849892739,8.31573098826129e-29,3.31876863869609e-26
"FBgn0052407",187.050167913661,-2.20287080419761,0.198235173295109,-11.1124114231647,1.09170909993636e-28,4.15891543934848e-26
"FBgn0033913",5212.96176538917,-1.16131164949957,0.105699560712775,-10.9869108411461,4.41789117232675e-28,1.60984112675089e-25
"FBgn0023479",3091.78196454293,-1.52534930097457,0.139334581110277,-10.9473849838277,6.8393646739698e-28,2.38836313885587e-25
"FBgn0026562",43909.4443835314,-2.36245863367408,0.226053936480761,-10.4508626147068,1.45198508498259e-25,4.86763479889564e-23
"FBgn0034010",547.240149120962,-1.45171019269211,0.140146922189562,-10.358487864104,3.82968384280656e-25,1.23448385717545e-22
"FBgn0001224",598.932007347051,1.48584691288192,0.143887746640282,10.3264311769127,5.35147032461744e-25,1.66113602928218e-22
"FBgn0063649",646.192411101866,-1.3093252867826,0.128786751293165,-10.1666147614991,2.79452562518426e-24,8.36461402309618e-22
"FBgn0037754",269.747253760138,-2.34185518676327,0.233213601542449,-10.0416749763929,9.99621222593e-24,2.88890533329377e-21
"FBgn0261552",5128.6158935707,-1.89611983922565,0.1907644569719,-9.93958659450362,2.79986662778374e-23,7.82189406915184e-21
"FBgn0085359",68.6061082175759,-4.91772330402325,0.494955087729239,-9.93569603776546,2.91135521654767e-23,7.87098969996323e-21
"FBgn0003748",1095.97418687562,1.07326663089927,0.108377368072768,9.9030512549322,4.03764567307556e-23,1.05748463706395e-20
"FBgn0024288",58.8494875253442,-4.5858334065302,0.464747217745501,-9.86737140412843,5.76556813635287e-23,1.46427959244768e-20
"FBgn0039109",475.403846877735,-1.30354622257227,0.132358551500745,-9.84859843049079,6.95064468559366e-23,1.71333391499884e-20
"FBgn0024315",92.0840267409837,-2.28669846362272,0.233119621479251,-9.80912052410073,1.02861115841429e-22,2.46308289104862e-20
"FBgn0016715",150.872486038183,-1.97364564178577,0.203890846760866,-9.6799129197819,3.67028471885883e-22,8.54462673020996e-20
"FBgn0050147",973.913541972156,-0.951778605788069,0.100837043485562,-9.4387793700471,3.77147135547158e-21,8.54289227843442e-19
"FBgn0040099",910.08257602036,-1.78113996133991,0.189789332254196,-9.38482653468811,6.3020089650958e-21,1.389924661486e-18
"FBgn0001226",1323.90943619999,1.71871276322136,0.185885476780243,9.24608416424731,2.32867805368236e-20,5.0042694276697e-18
"FBgn0003137",4518.8903101848,0.918494504357451,0.0999782310544615,9.18694494461616,4.04156510275403e-20,8.46808928154538e-18
"FBgn0037290",67.0998167313376,3.0106884736439,0.328634966265526,9.16119336860633,5.1326531116362e-20,1.04918940801519e-17
"FBgn0001225",420.302629286048,1.34749359578934,0.151244134937278,8.90939404921823,5.13122321653448e-19,1.02392337566132e-16
"FBgn0034751",16640.8459837339,-1.06138233411722,0.119522520375809,-8.88018702065487,6.67480432774831e-19,1.30096593188043e-16
"FBgn0260011",89.2793535054463,2.38840035857711,0.269159715693883,8.87354317647388,7.08547526176886e-19,1.34962200383829e-16
"FBgn0039257",521.915451167556,-1.05253081530103,0.120987497830071,-8.6995006441023,3.33347763457168e-18,6.20841690118783e-16
"FBgn0037153",103.140156366507,1.84127065899158,0.212156337756871,8.67883881508955,3.99829865948999e-18,7.28472631851861e-16
"FBgn0040271",1010.04565526286,0.916835072999349,0.107518335458352,8.52724392626493,1.4987561960788e-17,2.67256929347584e-15
"FBgn0037239",747.663778758266,-0.875431005130999,0.103530006902911,-8.45581905497185,2.77135080869577e-17,4.83889398493318e-15
"FBgn0261362",5796.45165295305,1.51967362982559,0.180701874515955,8.40983876839312,4.10574714253514e-17,7.0225034288953e-15
"FBgn0036968",736.401636963549,-0.975622115474818,0.11615026039018,-8.39965500031979,4.47792287031033e-17,7.50589431521418e-15
"FBgn0051642",110.54063539156,2.0152960766571,0.24042264427865,8.38230559647856,5.19008708876312e-17,8.52904311586739e-15
"FBgn0038149",993.47812985692,1.04994922215363,0.125882516278585,8.34070729750934,7.38474819948983e-17,1.19022258961393e-14
"FBgn0031449",920.620695590419,-0.853022638143527,0.103383430715203,-8.25105756543719,1.56998897474099e-16,2.48265615043475e-14
